station_coordinates,station_name,station_type,transport_type,station_exploitant
"[48.90456638896682, 2.3226263683342263]",Saint-Ouen,RER,RER C,SNCF
"[48.89807641019572, 2.094836628297753]",Saint-Germain-en-Laye,RER,RER A,RATP
"[48.4305048175848, 2.75299838499599]",Vulaines-sur-Seine-Samoreau,TRAIN,TRAIN R,SNCF
"[48.80948226298239, 2.135087456598117]",Versailles Rive Droite,TRAIN,TRAIN L,SNCF
"[48.83345085727892, 2.3317401309853487]",Denfert-Rochereau,METRO,METRO 4,RATP
"[48.873513388661024, 2.3275430817269704]",Havre-Caumartin,METRO,METRO 3,RATP
"[48.87371340577332, 2.3276954096301727]",Havre-Caumartin,METRO,METRO 9,RATP
"[48.84894464412929, 2.3958794351856882]",Nation,METRO,METRO 9,RATP
"[48.84847428503984, 2.39506230542588]",Nation,METRO,METRO 2,RATP
"[48.82035003325553, 2.3385807496409945]",Cité Universitaire,TRAMWAY,TRAM 3a,RATP
"[48.83807588962523, 2.271174403433847]",Pont du Garigliano,TRAMWAY,TRAM 3a,RATP
"[48.93344983983791, 2.3070896535270227]",Gennevilliers,TRAMWAY,TRAM 1,RATP
"[48.74168449220143, 2.3527953813100164]",La Fraternelle,TRAMWAY,TRAM 7,RATP
"[48.729550721727726, 2.3682641286195807]",Aéroport d'Orly,TRAMWAY,TRAM 7,RATP
"[48.80107761048209, 2.1709674010790323]",Viroflay Rive Gauche,TRAMWAY,TRAM 6,RATP
"[48.8975528089661, 2.3733837959985995]",Rosa Parks,TRAMWAY,TRAM 3b,RATP
"[48.87949310699919, 2.388566870479196]",Botzaris,METRO,METRO 7bis,RATP
"[48.85216836871572, 2.3896255399759543]",Rue des Boulets,METRO,METRO 9,RATP
"[48.86865415090181, 2.341376051143573]",Bourse,METRO,METRO 3,RATP
"[48.8561407102205, 2.370209339755371]",Bréguet-Sabin,METRO,METRO 5,RATP
"[48.906374770235026, 2.4491899044793355]",Bobigny Pablo Picasso,METRO,METRO 5,RATP
"[48.84547070664901, 2.429205166347999]",Bérault,METRO,METRO 1,RATP
"[48.869091161091255, 2.380542586000036]",Couronnes,METRO,METRO 2,RATP
"[48.83333855831707, 2.3866324020669847]",Cour Saint-Émilion,METRO,METRO 14,RATP
