station_coordinates,station_name,station_type,transport_type,station_exploitant
"[48.33648177967657, 2.7380016185325875]",Montigny-sur-Loing,TRAIN,TRAIN R,SNCF
"[48.37859776699086, 2.7993074292837785]",Moret-Veneux-les-Sablons,TRAIN,TRAIN R,SNCF
"[48.741878704743876, 2.4029086073679395]",Orly Ville,RER,RER C,SNCF
"[48.830959527712174, 1.960026560248268]",Plaisir-les-Clayes,TRAIN,TRAIN N,SNCF
"[48.86266245075987, 2.300989969386769]",Pont de l'Alma,RER,RER C,SNCF
"[48.78739023735681, 2.044621988534177]",Saint-Quentin-en-Yvelines,TRAIN,TRAIN U,SNCF
"[48.702751041142115, 2.071242846320577]",Saint-Rémy-lès-Chevreuse,RER,RER B,RATP
"[48.595563837056154, 2.5839477110612497]",Savigny-le-Temple-Nandy,RER,RER D,SNCF
"[48.91756717565042, 2.3503895378897672]",Stade de France-Saint-Denis,RER,RER D,SNCF
"[48.871714190222136, 2.2210295504311297]",Suresnes-Mont-Valérien,TRAIN,TRAIN L,SNCF
"[49.11406195060892, 2.287915343526004]",Presles-Courcelles,TRAIN,TRAIN H,SNCF
"[48.5554261036265, 3.30179647607817]",Provins,TRAIN,TRAIN P,SNCF
"[48.658975422894706, 2.415206841330065]",Ris-Orangis,RER,RER D,SNCF
"[48.795654820477296, 2.65038766844115]",Roissy-en-Brie,RER,RER E,SNCF
"[48.74019544726775, 2.35163319817191]",Rungis-La Fraternelle,RER,RER C,SNCF
"[48.84610294770648, 2.2176210808904337]",Saint-Cloud,TRAIN,TRAIN U,SNCF
"[48.96358968393914, 2.2859307182089417]",Saint-Gratien,RER,RER C,SNCF
"[48.82326663318944, 2.5426797940158528]",Villiers-sur-Marne - Le Plessis-Trévise,RER,RER E,SNCF
"[48.8007184629288, 2.1713898127563778]",Viroflay Rive Gauche,TRAIN,TRAIN N,SNCF
"[49.02177395531071, 2.229376488386947]",Vaucelles,TRAIN,TRAIN H,SNCF
"[48.64437362398141, 2.825169932970372]",Verneuil-l'Etang,TRAIN,TRAIN P,SNCF
"[49.00811401680905, 2.680252455973216]",Thieux-Nantouillet,TRAIN,TRAIN K,SNCF
"[48.73948720636679, 2.7588245486748937]",Tournan,TRAIN,TRAIN P,SNCF
"[48.77480280884466, 2.0065668690576657]",Trappes,TRAIN,TRAIN N,SNCF
"[48.875208264520296, 2.6375907171679738]",Vaires-Torcy,TRAIN,TRAIN P,SNCF
"[49.11662788157165, 2.3682535476101876]",Viarmes,TRAIN,TRAIN H,SNCF
"[49.079272054054606, 2.3505136376252613]",Villaines,TRAIN,TRAIN H,SNCF
"[48.006601456774845, 2.7431922431979743]",Montargis,TRAIN,TRAIN R,SNCF
"[49.096120808888976, 2.7446862074424234]",Le Plessis-Belleville,TRAIN,TRAIN K,SNCF
"[48.839081279307386, 2.3830280811464517]",Paris-Bercy,TRAIN,GL,SNCF
"[48.754946524596164, 2.3009868557349504]",Antony,VAL,ORLYVAL,RATP Dev
"[48.72509804026411, 2.259946049525821]",Massy-Palaiseau,RER,RER B,RATP
"[48.85290746187024, 2.5143124384334397]",Neuilly-Plaisance,RER,RER A,RATP
"[48.946893910210804, 2.5247790470568603]",Sevran-Beaudottes,RER,RER B,SNCF
"[48.86736622488657, 2.051282049428052]",Saint-Nom-la-Bretèche - Forêt de Marly,TRAIN,TRAIN L,SNCF
"[48.93948680986661, 1.9996036096602352]",Villennes-sur-Seine,TRAIN,TRAIN J,SNCF
"[49.004725623562045, 2.5712948444359345]",Terminal 2 - Gare TGV,VAL,CDGVAL,Transdev
"[49.03876204381963, 1.581532102335018]",Bonnières,TRAIN,TRAIN J,SNCF
"[48.86983048806187, 2.2748081536422338]",Avenue Foch,RER,RER C,SNCF
"[48.689567256029264, 2.383833358799738]",Juvisy,RER,RER D,SNCF
"[48.734888146410114, 2.2740024044842473]",Massy-Verrières,RER,RER C,SNCF
"[48.95693142564194, 2.873364799935517]",Meaux,TRAIN,TRAIN P,SNCF
"[48.89218707551516, 2.2370180563950135]",La Défense,TRAIN,TRAIN U,SNCF
"[48.89218707551516, 2.2370180563950135]",La Défense,TRAIN,TRAIN L,SNCF
"[48.89085679537969, 2.8264054973040675]",Montry-Condé,TRAIN,TRAIN P,SNCF
"[48.275078231754726, 1.6221196174276982]",Voves,TRAIN,GL,SNCF
"[48.095892435455106, 2.7721048119391076]",Ferrières Fontenay,TRAIN,TRAIN R,SNCF
"[48.880195486201494, 2.357633204680053]",Gare du Nord,METRO,METRO 5,RATP
"[48.88489625421614, 2.297724346480177]",Pereire-Levallois,METRO,METRO 3,RATP
"[48.87571908888893, 2.324224580938852]",Saint-Lazare,METRO,METRO 14,RATP
"[48.84737487779481, 2.3954619948327394]",Nation,METRO,METRO 6,RATP
"[48.936155626323526, 2.346470902107097]",Saint-Denis,TRAMWAY,TRAM 1,RATP
"[48.930287860867686, 2.4233851067979795]",Le Bourget,TRAMWAY,TRAM 11,SNCF
"[48.842005346355, 2.2388873271530727]",Boulogne - Jean Jaurès,METRO,METRO 10,RATP
"[48.8407450151916, 2.228536981491631]",Boulogne - Pont de Saint-Cloud,METRO,METRO 10,RATP
"[48.86698310851503, 2.2900588335804866]",Boissière,METRO,METRO 6,RATP
"[48.864766844037305, 2.300991003495584]",Alma-Marceau,METRO,METRO 9,RATP
"[48.892082785032315, 2.2850095013824134]",Anatole France,METRO,METRO 3,RATP
"[48.875336841182126, 2.2901275088247]",Argentine,METRO,METRO 1,RATP
"[48.81074648584623, 2.301678555482428]",Châtillon-Montrouge,METRO,METRO 13,RATP
"[48.844794762777255, 2.293951963648717]",Commerce,METRO,METRO 8,RATP
"[48.86628580364943, 2.322943412243541]",Concorde,METRO,METRO 1,RATP
"[48.86616711401473, 2.323175680856618]",Concorde,METRO,METRO 12,RATP
"[48.87202380946529, 2.300560451236721]",George V,METRO,METRO 1,RATP
"[48.91638230898788, 2.2946851117025537]",Gabriel Péri,METRO,METRO 13,RATP
"[48.857477981594855, 2.3515775629949958]",Hôtel de Ville,METRO,METRO 1,RATP
"[48.863972477882776, 2.3496175641598396]",Étienne Marcel,METRO,METRO 4,RATP
"[48.870396388290395, 2.3614002104327767]",Jacques Bonsergent,METRO,METRO 5,RATP
"[48.882465244637686, 2.3701579617396105]",Jaurès,METRO,METRO 7bis,RATP
"[48.815307530265535, 2.297077796972984]",Malakoff - Rue Étienne Dolet,METRO,METRO 13,RATP
"[48.8527251192356, 2.4060891618687723]",Maraîchers,METRO,METRO 9,RATP
"[48.810129956339246, 2.3622633871273484]",Le Kremlin-Bicêtre,METRO,METRO 7,RATP
"[48.83593030194427, 2.3525422662627014]",Les Gobelins,METRO,METRO 7,RATP
"[48.82662006452886, 2.405851943981901]",Liberté,METRO,METRO 8,RATP
"[48.87023324246549, 2.325163546827897]",Madeleine,METRO,METRO 12,RATP
"[48.87976125216355, 2.4164796436815146]",Mairie des Lilas,METRO,METRO 11,RATP
"[48.862348029905775, 2.336496460942477]",Palais Royal - Musée du Louvre,METRO,METRO 1,RATP
"[48.86525378511986, 2.3745819699964117]",Parmentier,METRO,METRO 3,RATP
"[48.84267681904916, 2.3128127748369014]",Pasteur,METRO,METRO 6,RATP
"[48.8631232137076, 2.385882449326147]",Père Lachaise,METRO,METRO 3,RATP
"[48.83321671877524, 2.362856399519012]",Nationale,METRO,METRO 6,RATP
"[48.852300762159715, 2.339727781593095]",Odéon,METRO,METRO 4,RATP
"[48.829746119059685, 2.2310281002026207]",Pont de Sèvres,METRO,METRO 9,RATP
"[48.81987622012246, 2.3645319531092004]",Porte de Choisy,METRO,METRO 7,RATP
"[48.89434384790808, 2.3474307799602045]",Simplon,METRO,METRO 4,RATP
"[48.85849912278188, 2.3231676112467445]",Solférino,METRO,METRO 12,RATP
"[48.83244909820875, 2.288022141100324]",Porte de Versailles,METRO,METRO 12,RATP
"[48.81922334867439, 2.35970521674602]",Porte d'Italie,METRO,METRO 7,RATP
"[48.82135578287942, 2.369290587346029]",Porte d'Ivry,METRO,METRO 7,RATP
"[48.859873622536846, 2.3719139801008366]",Richard Lenoir,METRO,METRO 5,RATP
"[48.865737865732086, 2.3344377148655506]",Pyramides,METRO,METRO 7,RATP
"[48.87388185322374, 2.385316215101792]",Pyrénées,METRO,METRO 11,RATP
"[48.861204989395915, 2.3534957414911455]",Rambuteau,METRO,METRO 11,RATP
"[48.838964279775986, 2.330754192086215]",Raspail,METRO,METRO 4,RATP
"[48.866496342855754, 2.3513589155329915]",Réaumur Sébastopol,METRO,METRO 3,RATP
"[48.86760087916799, 2.3627573800027624]",République,METRO,METRO 8,RATP
"[48.86778029961571, 2.362928700156112]",République,METRO,METRO 9,RATP
"[48.838427296033, 2.3609671676988544]",Saint-Marcel,METRO,METRO 5,RATP
"[48.86428575771083, 2.3797418931775534]",Rue Saint-Maur,METRO,METRO 3,RATP
"[48.883809200299005, 2.3046744405283954]",Wagram,METRO,METRO 3,RATP
"[48.83951658446791, 2.301107516242396]",Vaugirard,METRO,METRO 12,RATP
"[48.78756279201086, 2.3678041056034975]",Villejuif - Louis Aragon,METRO,METRO 7,RATP
"[48.79648308361576, 2.368269540049694]",Villejuif Paul Vaillant-Couturier,METRO,METRO 7,RATP
"[48.89740222196378, 2.344847748752398]",Porte de Clignancourt,METRO,METRO 4,RATP
"[48.89724528715874, 2.359507868815593]",Porte de la Chapelle,METRO,METRO 12,RATP
"[48.87599106387279, 2.3578807719253265]",Gare de l'Est,METRO,METRO 4,RATP
"[48.8437813048013, 2.324397012385794]",Montparnasse-Bienvenüe,METRO,METRO 4,RATP
"[48.89122859226912, 2.402352143900472]",Hoche,METRO,METRO 5,RATP
"[48.8464230763525, 2.418759786698671]",Saint-Mandé,METRO,METRO 1,RATP
"[48.86306501928347, 2.2862431693282357]",Trocadéro,METRO,METRO 9,RATP
"[48.80468811997663, 2.363953196602165]",Villejuif - Léo Lagrange,METRO,METRO 7,RATP
"[48.91494975634199, 2.4044090887818634]",Fort d'Aubervilliers,METRO,METRO 7,RATP
"[48.88289191651976, 2.3090522645504783]",Malesherbes,METRO,METRO 3,RATP
"[48.85301676698268, 2.3355020517275578]",Mabillon,METRO,METRO 10,RATP
"[48.82430937015939, 2.273665557499754]",Mairie d'Issy,METRO,METRO 12,RATP
"[48.834785157146825, 2.4053832106267707]",Porte Dorée,METRO,METRO 8,RATP
"[48.821829557134386, 2.3700536035296764]",Porte d'Ivry,TRAMWAY,TRAM 3a,RATP
"[48.8469481509172, 2.4095514297873715]",Porte de Vincennes,TRAMWAY,TRAM 3a,RATP
"[48.929816426446465, 2.3572920708824565]",Saint-Denis - Porte de Paris,TRAMWAY,TRAM 8,RATP
"[48.8411869193093, 2.320509227539884]",Montparnasse,TRAIN,TRAIN N,SNCF
"[48.894980809790994, 2.3127919615012913]",Porte de Clichy,METRO,METRO 14,RATP
"[48.87600129056708, 2.225959095144878]",Belvédère,TRAMWAY,TRAM 2,RATP
"[48.931734824551995, 2.378225490397901]",Cosmonautes,TRAMWAY,TRAM 1,RATP
"[48.9140932625715, 2.431278002116334]",Gaston Roulaud,TRAMWAY,TRAM 1,RATP
"[48.82470768479173, 2.260481575638462]",Jacques-Henri Lartigue,TRAMWAY,TRAM 2,RATP
"[48.935605707425715, 2.3343329145357625]",Mairie de Villeneuve-la-Garenne,TRAMWAY,TRAM 1,RATP
"[48.92326825411701, 2.217589799339641]",Pont de Bezons,TRAMWAY,TRAM 2,RATP
"[48.917514906645074, 2.224812188878314]",Parc Pierre Lagravère,TRAMWAY,TRAM 2,RATP
"[48.87945550232368, 2.401233644855654]",Hôpital Robert Debré,TRAMWAY,TRAM 3b,RATP
"[48.88501678825914, 2.3967512888038964]",Butte du Chapeau Rouge,TRAMWAY,TRAM 3b,RATP
"[48.976665691418034, 2.3774196746658705]",Les Flanades,TRAMWAY,TRAM 5,RATP
"[48.9708834033042, 2.3660038891143387]",Jacques Prévert,TRAMWAY,TRAM 5,RATP
"[48.944818931737956, 2.3570063564706416]",Roger Sémat,TRAMWAY,TRAM 5,RATP
"[48.76818987493941, 2.368043000890792]",Bretagne,TRAMWAY,TRAM 7,RATP
"[48.759573534326904, 2.3663980000432177]",Porte de Thiais,TRAMWAY,TRAM 7,RATP
"[48.78198667156529, 2.180493750928926]",L’Onde,TRAMWAY,TRAM 6,RATP
"[48.80420493736828, 2.2890572535997067]",Centre de Châtillon,TRAMWAY,TRAM 6,RATP
"[48.78008715105366, 2.196505812489854]",Louvois,TRAMWAY,TRAM 6,RATP
"[48.932051821778835, 2.352701984386339]",Pierre De Geyter,TRAMWAY,TRAM 8,RATP
"[48.95272632896365, 2.3434612795268253]",Jean Vilar,TRAMWAY,TRAM 8,RATP
"[48.897923572022464, 2.5617143040426065]",Arboretum,TRAMWAY,TRAM 4,SNCF
"[48.7786696964692, 2.3963579030386173]",Watteau - Rondenay,TRAMWAY,TRAM 9,KEOLIS
"[48.7639148701424, 2.4058089440372177]",Rouget de Lisle,TRAMWAY,TRAM 9,KEOLIS
"[48.74499563732309, 2.4083182947704547]",Orly - Gaston Viens,TRAMWAY,TRAM 9,KEOLIS
"[48.93638914612756, 2.363640702197924]",Cimetière de Saint-Denis,TRAMWAY,TRAM 1,RATP
"[48.95316824583038, 2.315403612112167]",Rose Bertin,TRAMWAY,TRAM 8,RATP
"[48.952680186297926, 2.3579830753256545]",Petit Pierrefitte,TRAMWAY,TRAM 5,RATP
"[48.9274028907232, 2.39247111931683]",Hôtel de Ville de La Courneuve,TRAMWAY,TRAM 1,RATP
"[48.9299710252732, 2.3847588600759835]",Six Routes,TRAMWAY,TRAM 1,RATP
"[48.831696592172385, 2.281470444083867]",Porte d'Issy,TRAMWAY,TRAM 2,RATP
"[48.937509895507496, 2.3504000185400646]",Théâtre Gérard Philipe,TRAMWAY,TRAM 1,RATP
"[48.960134541354385, 2.367256583472629]",Pierrefitte Stains,TRAMWAY,TRAM 11,SNCF
"[48.860381278263674, 2.31489073005888]",Invalides,METRO,METRO 8,RATP
"[49.00897846001637, 2.5448318979171196]",Parc PR,VAL,CDGVAL,Transdev
"[49.01768620871566, 2.0901816209910136]",Éragny-Neuville,TRAIN,TRAIN J,SNCF
"[48.99031358296854, 2.263285353999832]",Ermont-Halte,TRAIN,TRAIN H,SNCF
"[48.58676705766165, 1.5926685170022563]",Maintenon,TRAIN,GL,SNCF
"[48.32402397966083, 3.1304207630989658]",Champigny-sur-Yonne,TRAIN,GL,SNCF
"[49.1870872042629, 2.459549118844452]",Chantilly-Gouvieux,RER,RER D,SNCF
"[49.03791491563732, 3.4094570946747402]",Château-Thierry,TRAIN,TRAIN P,SNCF
"[48.87844429946005, 2.3619653022299594]",Château-Landon,METRO,METRO 7,RATP
"[48.805195668207666, 2.1892781185588643]",Chaville Rive Gauche,TRAIN,TRAIN N,SNCF
"[48.62590139398081, 2.430155386011356]",Évry Courcouronnes,RER,RER D,SNCF
"[49.261198496038396, 1.8730972125861565]",Chaumont-en-Vexin,TRAIN,TRAIN J,SNCF
"[48.94345963195152, 1.5417749316626157]",Bréval,TRAIN,GL,SNCF
"[49.0184866494485, 1.149740605527025]",Évreux,TRAIN,GL,SNCF
"[48.99188915932341, 3.364379893535807]",Chézy-sur-Marne,TRAIN,TRAIN P,SNCF
"[48.875672106146304, 2.327842235259621]",Saint-Lazare,METRO,METRO 12,RATP
"[48.99033252744756, 2.0739471888196923]",Conflans-Fin-d'Oise,RER,RER A,SNCF
"[48.48258219543916, 1.5243595289461647]",La Villette-Saint-Prest,TRAIN,GL,SNCF
"[47.9608881446307, 3.512888761289445]",Laroche-Migennes,TRAIN,GL,SNCF
"[48.88341808759222, 2.3496748325822017]",Barbès-Rochechouart,METRO,METRO 4,RATP
"[48.872283107993574, 2.37673072170184]",Belleville,METRO,METRO 2,RATP
"[48.89090644862382, 2.3770904390888754]",Crimée,METRO,METRO 7,RATP
"[48.8931499848255, 2.4127630445476265]",Église de Pantin,METRO,METRO 5,RATP
"[48.835152534806205, 2.3585662563494663]",Campo Formio,METRO,METRO 5,RATP
"[48.85971866106072, 2.3467682857366983]",Châtelet,METRO,METRO 4,RATP
"[48.856942735225, 2.3481474810054985]",Châtelet,METRO,METRO 7,RATP
"[48.88032518553965, 2.3087738359558063]",Monceau,METRO,METRO 2,RATP
"[48.849575212975026, 2.298625127144873]",La Motte Picquet-Grenelle,METRO,METRO 8,RATP
"[48.76881073327119, 2.4642800705433565]",Créteil - Pointe du Lac,METRO,METRO 8,RATP
"[48.87542071571821, 2.3254763744470495]",Saint-Lazare,METRO,METRO 13,RATP
"[48.85509449354248, 2.384699760132843]",Charonne,METRO,METRO 9,RATP
"[48.85710325722025, 2.3681841149506986]",Chemin Vert,METRO,METRO 8,RATP
"[48.871692983636265, 2.3384630810087437]",Richelieu-Drouot,METRO,METRO 8,RATP
"[48.881094426231876, 2.3147210047461946]",Villiers,METRO,METRO 2,RATP
"[48.96562485707645, 2.363302264997832]",Alcide d'Orbigny,TRAMWAY,TRAM 5,RATP
"[48.94393432473557, 2.4111217548968233]",Dugny - La Courneuve,TRAMWAY,TRAM 11,SNCF
"[48.73369934615565, 2.3714125382197087]",Coeur d'Orly,TRAMWAY,TRAM 7,RATP
"[48.803489717990644, 2.3173602968975313]",Bagneux - Lucie Aubrac,METRO,METRO 4,RATP
"[48.90808243688599, 2.3777414811061086]",Aimé Césaire,METRO,METRO 12,RATP
"[48.90320461451807, 2.0729714565656727]",Lisière Pereire,TRAMWAY,TRAM 13,TRANSKEO
"[48.769323788486744, 2.249652962862063]",Malabry,TRAMWAY,TRAM 10,RD Bièvre
"[48.764720178615015, 2.2658848665512097]",Les Peintres,TRAMWAY,TRAM 10,RD Bièvre
"[48.762547276993935, 2.2820166881372703]",Petit-Châtenay,TRAMWAY,TRAM 10,RD Bièvre
"[48.79168460513109, 2.2525341241079597]",Jardin Parisien,TRAMWAY,TRAM 10,RD Bièvre
"[48.83908975449538, 2.2704582437872416]",Pont du Garigliano,RER,RER C,SNCF
"[48.53289010230884, 2.290082513840396]",Bouray,RER,RER C,SNCF
"[48.43449061192662, 2.376672818506991]",Boutigny,RER,RER D,SNCF
"[48.914246473361345, 2.2715987503897535]",Bois-Colombes,TRAIN,TRAIN J,SNCF
"[48.97066504738864, 2.0777317645655975]",Achères-Ville,TRAIN,TRAIN L,SNCF
"[48.94679694114592, 2.2578974840274197]",Argenteuil,TRAIN,TRAIN J,SNCF
"[48.58600788986434, 2.2410700809029738]",Arpajon,RER,RER C,SNCF
"[48.22954993651881, 2.703936052961915]",Bagneaux-sur-Loing,TRAIN,TRAIN R,SNCF
"[48.56611781980045, 2.492713002881577]",Le Coudray-Montceaux,RER,RER D,SNCF
"[49.032972045837816, 2.3368296898368266]",Domont,TRAIN,TRAIN H,SNCF
"[48.66948372427284, 2.3326229292104714]",Épinay-sur-Orge,RER,RER C,SNCF
"[48.980646099492056, 2.2720847727476317]",Ermont-Eaubonne,RER,RER C,SNCF
"[48.57750848849613, 2.192063068770896]",Breuillet,RER,RER C,SNCF
"[48.371383291366385, 2.3872097971981003]",Buno-Gironville,RER,RER D,SNCF
"[48.69625274687923, 2.1643782427741716]",Bures-sur-Yvette,RER,RER B,RATP
"[48.97951661734976, 2.292168702598675]",Champ de Courses d'Enghien,TRAIN,TRAIN H,SNCF
"[48.877157838768376, 2.552881649780831]",Le Chénay-Gagny,RER,RER E,SNCF
"[48.76378680861681, 2.4113867249361034]",Choisy-le-Roi,RER,RER C,SNCF
"[48.81423944456703, 2.2744896721778813]",Clamart,TRAIN,TRAIN N,SNCF
"[48.89763744698274, 2.297419948146662]",Clichy-Levallois,TRAIN,TRAIN L,SNCF
"[48.92391862562617, 2.259345703052149]",Colombes,TRAIN,TRAIN J,SNCF
"[48.982979762271704, 1.8089078287123903]",Gargenville,TRAIN,TRAIN J,SNCF
"[49.02316199809731, 2.462168966135234]",Goussainville,RER,RER D,SNCF
"[48.746452319769574, 2.727229371429766]",Gretz-Armainvilliers,RER,RER E,SNCF
"[48.8072466111669, 2.0405192047036644]",Fontenay-le-Fleury,TRAIN,TRAIN N,SNCF
"[48.84379435099823, 2.463501419487551]",Fontenay-sous-Bois,RER,RER A,RATP
"[48.869950134005364, 2.7822267234490363]",Marne-la-Vallée-Chessy,RER,RER A,RATP
"[48.8210388141285, 2.4638567953623154]",Joinville-le-Pont,RER,RER A,RATP
"[48.966326543908124, 2.3165820711557]",La Barre-Ormesson,TRAIN,TRAIN H,SNCF
"[48.98950250709662, 1.7030161341672225]",Mantes-la-Jolie,TRAIN,TRAIN N,SNCF
"[48.565593861886065, 2.290924468489717]",Marolles-en-Hurepoix,RER,RER C,SNCF
"[48.90955319881107, 1.856855516922891]",Maule,TRAIN,TRAIN N,SNCF
"[48.98663884378675, 2.059569496216214]",Maurecourt,TRAIN,TRAIN J,SNCF
"[48.52724332052425, 2.6549902821418874]",Melun,TRAIN,TRAIN R,SNCF
"[48.34841601331182, 2.0322397733867]",Monnerville,TRAIN,GL,SNCF
"[48.950819986643154, 3.124909020747328]",La Ferté-sous-Jouarre,TRAIN,TRAIN P,SNCF
"[48.88218913577092, 2.706014179759928]",Lagny-Thorigny,TRAIN,TRAIN P,SNCF
"[48.53877525569195, 2.6255221550663017]",Le Mée,RER,RER D,SNCF
"[48.80537766122676, 2.486349748779074]",Le Parc de Saint-Maur,RER,RER A,RATP
"[48.888865741372086, 2.513157532747811]",Le Raincy-Villemomble-Montfermeil,RER,RER E,SNCF
"[48.788466672616934, 2.4322435333606984]",Le Vert-de-Maisons,RER,RER D,SNCF
"[48.78222618259531, 2.409590234985702]",Les Ardoines,RER,RER C,SNCF
"[48.92087280342236, 2.313835382457718]",Les Grésillons,RER,RER C,SNCF
"[49.03318276809758, 2.4780333651150817]",Les Noues,RER,RER D,SNCF
"[48.628375550788355, 2.56958354823646]",Lieusaint-Moissy,RER,RER D,SNCF
"[48.84543414954589, 2.339762849560475]",Luxembourg,RER,RER B,RATP
"[48.70814058271019, 2.2373143646394547]",Palaiseau-Villebon,RER,RER B,RATP
"[49.14771950466571, 2.2778231906293986]",Persan-Beaumont,TRAIN,TRAIN H,SNCF
"[48.848237109475654, 2.3958235888261252]",Nation,RER,RER A,RATP
"[49.019136738908486, 2.1546634856409232]",Pierrelaye,RER,RER C,SNCF
"[49.06628869676361, 2.322920457193825]",Montsoult-Maffliers,TRAIN,TRAIN H,SNCF
"[48.78949667593891, 2.9073872703725323]",Mortcerf,TRAIN,TRAIN P,SNCF
"[48.561947849088995, 3.0120121424808306]",Nangis,TRAIN,TRAIN P,SNCF
"[49.13828637433882, 2.490178985421195]",Orry-la-Ville-Coye-la-Forêt,RER,RER D,SNCF
"[48.53513976605376, 2.544348950368585]",Ponthierry-Pringy,RER,RER D,SNCF
"[49.06115389989251, 2.1315382716316975]",Pont-Petit,TRAIN,TRAIN H,SNCF
"[48.84003378648352, 2.33709643088009]",Port Royal,RER,RER B,RATP
"[49.062969677663645, 2.057902989161613]",Osny,TRAIN,TRAIN J,SNCF
"[49.045311647416625, 2.1051107034445073]",Saint-Ouen-l'Aumône,TRAIN,TRAIN H,SNCF
"[48.78739023735681, 2.044621988534177]",Saint-Quentin-en-Yvelines,TRAIN,TRAIN N,SNCF
"[48.78135672038832, 2.297647677794033]",Sceaux,RER,RER B,RATP
"[48.82121703695917, 2.2148597954375484]",Sèvres Rive Gauche,TRAIN,TRAIN N,SNCF
"[48.771707906029434, 2.5074826457143127]",Sucy-Bonneuil,RER,RER A,RATP
"[48.871714190222136, 2.2210295504311297]",Suresnes-Mont-Valérien,TRAIN,TRAIN U,SNCF
"[48.88252792360069, 2.481213457683428]",Rosny-Bois-Perrier,RER,RER E,SNCF
"[48.52914896589067, 3.255368150025012]",Sainte-Colombe-Septveilles,TRAIN,TRAIN P,SNCF
"[48.38268943407051, 2.8165787708488974]",Saint-Mammès,TRAIN,TRAIN R,SNCF
"[48.806200023829, 2.472720403802171]",Saint-Maur-Créteil,RER,RER A,RATP
"[48.67609243303041, 2.386783798391593]",Viry-Châtillon,RER,RER D,SNCF
"[49.09107345125737, 2.2018234842360584]",Valmondois,TRAIN,TRAIN H,SNCF
"[48.394308437821834, 2.7640281887878886]",Thomery,TRAIN,TRAIN R,SNCF
"[48.83964551632845, 2.655130086641313]",Torcy,RER,RER A,RATP
"[48.730638291953525, 2.4462264454387066]",Villeneuve-Saint-Georges,RER,RER D,SNCF
"[49.26394414357276, 2.4689141153510383]",Creil,TRAIN,TRAIN H,SNCF
"[49.20087707816823, 2.838108478036551]",Ormoy-Villers,TRAIN,TRAIN K,SNCF
"[48.85804605444998, 2.2741546297365582]",La Muette,METRO,METRO 9,RATP
"[48.729023984207714, 2.3699132275101324]",Orly 4,VAL,ORLYVAL,RATP Dev
"[48.76477601201801, 2.1639470858818313]",Jouy-en-Josas,RER,RER C,SNCF
"[48.93190349406898, 2.2609654735287203]",Le Stade,TRAIN,TRAIN J,SNCF
"[48.87790843722566, 2.2844312199167676]",Neuilly Porte Maillot,RER,RER C,SNCF
"[48.843509238513676, 2.6166786246946017]",Noisiel,RER,RER A,RATP
"[49.00776771833622, 2.1965029019130347]",Montigny-Beauchamp,TRAIN,TRAIN H,SNCF
"[49.00776771833622, 2.1965029019130347]",Montigny-Beauchamp,RER,RER C,SNCF
"[48.860351433091736, 2.32675977444181]",Musée d'Orsay,RER,RER C,SNCF
"[48.55092667936702, 2.1249373835377647]",Saint-Chéron,RER,RER C,SNCF
"[48.80547779084043, 2.167669031960396]",Viroflay Rive Droite,TRAIN,TRAIN L,SNCF
"[48.950651092156185, 2.23253400870597]",Val d'Argenteuil,TRAIN,TRAIN J,SNCF
"[49.09153773262698, 1.477856178052856]",Vernon,TRAIN,TRAIN J,SNCF
"[48.33268364377388, 2.6924801905840656]",Bourron-Marlotte-Grez,TRAIN,TRAIN R,SNCF
"[48.34166354368213, 2.37881544331189]",Boigneville,RER,RER D,SNCF
"[48.47552307144049, 2.6920332598663985]",Bois-le-Roi,TRAIN,TRAIN R,SNCF
"[49.0758428838879, 2.024952931375387]",Boissy-l'Aillerie,TRAIN,TRAIN J,SNCF
"[48.90576265617279, 2.2699647791945132]",Bécon-les-Bruyères,TRAIN,TRAIN L,SNCF
"[48.96866508212806, 2.1930924686940605]",Cormeilles-en-Parisis,TRAIN,TRAIN J,SNCF
"[48.58272468713799, 2.2234488335831086]",Égly,RER,RER C,SNCF
"[49.04787620243536, 2.010999760003632]",Cergy Le Haut,RER,RER A,SNCF
"[48.51424587436435, 2.2155178119494896]",Chamarande,RER,RER C,SNCF
"[48.85645721060724, 2.2898035182584997]",Champ de Mars,RER,RER C,SNCF
"[48.8768369530351, 2.324738046836633]",Saint-Lazare,TRAIN,TRAIN L,SNCF
"[48.68619126622109, 2.317299785060706]",Gravigny-Balizy,RER,RER C,SNCF
"[48.81047522448721, 1.7645814867402245]",Garancières-La Queue,TRAIN,TRAIN N,SNCF
"[48.83059547530458, 2.264069650250567]",Issy-Val-de-Seine,RER,RER C,SNCF
"[48.734888146410114, 2.2740024044842473]",Massy-Verrières,RER,RER B,RATP
"[49.014133684049256, 2.078306591409993]",Neuville Université,RER,RER A,SNCF
"[49.03896352400667, 2.103461593344873]",Saint-Ouen-l'Aumône - Quartier de l'Église,TRAIN,TRAIN J,SNCF
"[48.847340363235745, 2.4324346602606606]",Vincennes,RER,RER A,RATP
"[49.00712724629194, 1.963551770278395]",Vaux-sur-Seine,TRAIN,TRAIN J,SNCF
"[48.795138178428715, 2.1351562241000215]",Versailles-Chantiers,RER,RER C,SNCF
"[48.8768369530351, 2.324738046836633]",Saint-Lazare,TRAIN,TRAIN J,SNCF
"[48.96876079265082, 3.3227975625701633]",Nogent-l'Artaud-Charly,TRAIN,TRAIN P,SNCF
