station_coordinates,station_name,station_slug,station_type,transport_type,transport_index
"[48.87547445574476, 2.3988675966256006]",Télégraphe,Télégraphe,METRO,METRO 11,11
"[48.83796121350173, 2.25712222983262]",Porte de Saint-Cloud,Porte de Saint-Cloud,METRO,METRO 9,9
"[48.827795542560736, 2.305534669653894]",Porte de Vanves,Porte de Vanves,METRO,METRO 13,13
"[48.945867271208414, 2.364636482504226]",Saint-Denis - Université,Saint-Denis - Université,METRO,METRO 13,13
"[48.853718933065686, 2.3337761382184663]",Saint-Germain-des-Prés,Saint-Germain-des-Prés,METRO,METRO 4,4
"[48.8415055214255, 2.307948677974289]",Volontaires,Volontaires,METRO,METRO 12,12
"[48.84221841267896, 2.329008926235402]",Vavin,Vavin,METRO,METRO 4,4
"[48.923103778731836, 2.2862795775297817]",Les Agnettes,Les Agnettes,METRO,METRO 13,13
"[48.86361093671121, 2.2875801625296517]",Trocadéro,Trocadéro,METRO,METRO 6,6
"[48.90656714504601, 2.365920319400959]",Front Populaire,Front Populaire,METRO,METRO 12,12
"[48.86116886366122, 2.3672108677856154]",Saint-Sébastien-Froissart,Saint-Sébastien-Froissart,METRO,METRO 8,8
"[48.823151632193444, 2.325509577822383]",Porte d'Orléans,Porte d'Orléans,TRAMWAY,TRAM 3a,3A
"[48.83267687094327, 2.288069457597241]",Porte de Versailles,Porte de Versailles,TRAMWAY,TRAM 3a,3A
"[48.840001387714224, 2.3795540112141405]",Bercy,Bercy,METRO,METRO 14,14
"[48.87515128697581, 2.3243805554289114]",Saint-Lazare,Saint-Lazare,METRO,METRO 3,3
"[48.876126352014495, 2.358047505360746]",Gare de l'Est,Gare de l'Est,METRO,METRO 5,5
"[48.884594207093436, 2.337949775692069]",Abbesses,Abbesses,METRO,METRO 12,12
"[48.867905343962654, 2.313545549946741]",Champs-Élysées – Clemenceau,Champs-Élysées – Clemenceau,METRO,METRO 1,1
"[48.8091443609007, 2.43450989592394]",Maisons-Alfort-Stade,Maisons-Alfort-Stade,METRO,METRO 8,8
"[48.82218265762191, 2.3585513482022034]",Maison Blanche,Maison Blanche,METRO,METRO 7,7
"[48.882249532253695, 2.337164539445146]",Pigalle,Pigalle,METRO,METRO 12,12
"[48.85107136943748, 2.330700709954214]",Saint-Sulpice,Saint-Sulpice,METRO,METRO 4,4
"[48.88027195609515, 2.398468172268172]",Pré Saint-Gervais,Pré Saint-Gervais,METRO,METRO 7bis,7b
"[48.855196323880406, 2.3258155665115288]",Rue du Bac,Rue du Bac,METRO,METRO 12,12
"[48.82708544796182, 2.27941168205042]",Corentin Celton,Corentin Celton,METRO,METRO 12,12
"[48.85806226082792, 2.3908609523236075]",Philippe Auguste,Philippe Auguste,METRO,METRO 2,2
"[48.877100184864226, 2.3487755574768463]",Poissonnière,Poissonnière,METRO,METRO 7,7
"[48.89715409503059, 2.2804138122108455]",Pont de Levallois,Pont de Levallois,METRO,METRO 3,3
"[48.84648464963565, 2.3659101068529798]",Quai de la Rapée,Quai de la Rapée,METRO,METRO 5,5
"[48.8763302640252, 2.3331088937605435]",Trinité d'Estienne d'Orves,Trinité d'Estienne d'Orves,METRO,METRO 12,12
"[48.82741485861918, 2.3066359265017424]",Porte de Vanves,Porte de Vanves,TRAMWAY,TRAM 3a,3A
"[48.89767181855045, 2.3298303344938858]",Porte de Saint-Ouen,Porte de Saint-Ouen,TRAMWAY,TRAM 3b,3B
"[48.898392124743104, 2.3583754693257846]",Porte de la Chapelle,Porte de la Chapelle,TRAMWAY,TRAM 3b,3B
"[48.84243679699021, 2.3651848119933803]",Gare d'Austerlitz,Gare d'Austerlitz,METRO,METRO 10,10
"[48.845868977751635, 2.373774422563834]",Gare de Lyon,Gare de Lyon,METRO,METRO 1,1
"[48.9009555366144, 2.5708415546006798]",Hôpital de Montfermeil,Hôpital de Montfermeil,TRAMWAY,TRAM 4,4
"[48.92271118741881, 2.406622752354693]",Danton,Danton,TRAMWAY,TRAM 1,1
"[48.82982637808205, 2.2956619828222937]",Georges Brassens,Georges Brassens,TRAMWAY,TRAM 3a,3A
"[48.83435816451825, 2.2840072433034178]",Desnouettes,Desnouettes,TRAMWAY,TRAM 3a,3A
"[48.92650393687579, 2.5191194854240337]",Freinville-Sevran,Freinville-Sevran,TRAMWAY,TRAM 4,4
"[48.933586402795655, 2.3710831716238587]",Hôpital Delafontaine,Hôpital Delafontaine,TRAMWAY,TRAM 1,1
"[48.9385944749182, 2.355845266780603]",Marché de Saint-Denis,Marché de Saint-Denis,TRAMWAY,TRAM 1,1
"[48.81917432819849, 2.2385983377921432]",Meudon-sur-Seine,Meudon-sur-Seine,TRAMWAY,TRAM 2,2
"[48.90966636441769, 2.4374878022135897]",La Ferme,La Ferme,TRAMWAY,TRAM 1,1
"[48.9026781018502, 2.5119399343333138]",Les Pavillons-sous-Bois,Les Pavillons-sous-Bois,TRAMWAY,TRAM 4,4
"[48.916096503158485, 2.5150614461921537]",Lycée Henri Sellier,Lycée Henri Sellier,TRAMWAY,TRAM 4,4
"[48.82150891646152, 2.3333398328576447]",Montsouris,Montsouris,TRAMWAY,TRAM 3a,3A
"[48.82868555053027, 2.30080195156065]",Brancion,Brancion,TRAMWAY,TRAM 3a,3A
"[48.82471101786912, 2.3188296926202256]",Jean Moulin,Jean Moulin,TRAMWAY,TRAM 3a,3A
"[48.924375142496096, 2.402073412996909]",Stade Géo André,Stade Géo André,TRAMWAY,TRAM 1,1
