station_coordinates,station_type_voie,station_dep,line_separation
"[48.8201036799541, 2.4738964383868804]",VDS,94,FR
"[48.76724524960475, 2.4534982001318895]",VDS,94,PR
"[48.793067981466024, 2.4600163945808564]",VSU1,94,PR
"[48.816396652396044, 2.4000320936483326]",VDS,94,PR
"[48.784605998623185, 2.448046739629888]",VDS,94,PR
"[48.838213848495954, 2.4943405025496346]",VDS,94,PR
"[48.792999442109355, 2.394512408182283]",VDS,94,PR
"[48.750900393025745, 2.3688208867914535]",VSU1,94,PR
"[48.75945475354859, 2.3663023187396566]",VDS,94,PR
"[48.773559712187705, 2.4392329607006995]",VDS,94,PR
"[48.76678723494327, 2.472007853595443]",VDS,94,PR
"[48.767241377596775, 2.4693823543080393]",VDS,94,PR
"[48.77320880504596, 2.5030218717720363]",VDS,94,PR
"[48.771234342419305, 2.4401128881260705]",VSU1,94,PR
"[48.760939759914045, 2.317161041869298]",VDS,94,PR
"[48.81226941511986, 2.3859890431702233]",VSU1,94,PR
"[48.80427954548009, 2.3430460006606446]",VSU2,94,PR
"[48.83534514349251, 2.471498861935726]",VSU1,94,PR
"[48.76579471291938, 2.410113639550835]",VDS,94,PR
"[48.82079318505341, 2.394821207504371]",VDS,94,PR
"[48.76703484930971, 2.4514213897868697]",VDS,94,PR
"[48.79594090145714, 2.416481804996281]",VSU1,94,PR
"[48.792883530824795, 2.39318605751017]",VDS,94,PR
"[48.802632589159494, 2.340134444063312]",VSU1,94,PR
"[48.7814215372553, 2.342240041543819]",VSU2,94,PR
"[48.78035651029833, 2.339951688991346]",VSU2,94,FR
"[48.76242641639366, 2.4009244238038048]",VDS,94,PR
"[48.81887870027806, 2.397102650367059]",VDS,94,PR
"[48.80944472884266, 2.3261907591292648]",VDS,94,FR
"[48.82176435958278, 2.3934505986531165]",VDS,94,PR
"[48.80993357887807, 2.3624450428538437]",VSU1,94,PR
"[48.819848848688466, 2.395974419211293]",VDS,94,PR
"[48.80088110011892, 2.4021352497919963]",VDS,94,PR
"[48.79921299981632, 2.465979500053918]",VDS,94,PR
"[48.75708367918751, 2.3885075868687875]",VDS,94,PR
"[48.79363245804217, 2.460778829425291]",VDS,94,PR
"[48.76323232305976, 2.306438984388967]",VDS,92,PR
"[48.7924814544943, 2.3880273237575587]",VDS,94,PR
"[48.78698896671951, 2.4068491508909426]",VSU1,94,PR
"[48.81284832444643, 2.511007471947667]",VSU1,94,FR
"[48.81308713779743, 2.512851246437918]",VSU1,94,FR
"[48.852137583137804, 2.3568081174756803]",VSU1,75,FR
"[48.86911436890432, 2.310391220901791]",VSU1,75,PR
"[48.84657414942652, 2.3282442660677773]",VDS,75,FR
"[48.88340564317865, 2.327597520702062]",VSU1,75,FR
"[48.850476425254065, 2.2770434187250292]",VSU1,75,FR
"[48.873739332438866, 2.3312501017591694]",VSU1,75,FR
"[48.83925289621215, 2.396519000984419]",VSU1,75,FR
"[48.85657348172891, 2.379199432925985]",VSU1,75,FR
"[48.834505859046786, 2.3839117060781896]",VDS,75,FR
"[48.82813411372668, 2.3259120023013526]",VSU1,75,FR
"[48.88274952270475, 2.323598199494642]",VDS,75,FR
"[48.870380447418476, 2.3266626952032285]",VSU1,75,FR
"[48.86997869554113, 2.2839161881560663]",VSU1,75,FR
"[48.839618668679535, 2.399665715946948]",VDS,75,FR
"[48.86432927182743, 2.29203302223229]",VDS,75,FR
"[48.85029506028993, 2.324367388495155]",VSU1,75,FR
"[48.81868924657118, 2.3595969972381017]",VDS,75,PR
"[48.85884343802538, 2.3677652027516487]",VDS,75,FR
"[48.89222824497395, 2.3010537662183874]",VSU1,75,FR
"[48.82157017654318, 2.3130098598627984]",VDS,92,FR
"[48.84045210966185, 2.3301631619938745]",VDS,75,FR
"[48.842930647643335, 2.312590376835468]",VSU1,75,FR
"[48.86934962732018, 2.366505161411906]",VSU1,75,FR
"[48.885566391608535, 2.3406126823100073]",VSU1,75,FR
"[48.84278064439266, 2.405209678125442]",VSU1,75,FR
"[48.88276964369129, 2.28705461987242]",VSU1,75,FR
"[48.837041913742205, 2.3516791638438557]",VDS,75,FR
"[48.87824333486926, 2.2959958800551363]",VSU1,75,FR
"[48.8702237215169, 2.2746696447668318]",VSU1,75,FR
"[48.886333121117026, 2.395361532779491]",VDS,75,PR
"[48.87819864557994, 2.41011740505248]",VSU1,75,PR
